datetime,open,high,low,close,volume
2026-05-15 12:00,145.97,145.97,145.97,145.97,1
2026-05-15 13:00,146.62,146.62,146.62,146.62,1
2026-05-15 14:00,142.44,142.44,142.44,142.44,1
2026-05-15 15:00,138.71,138.71,138.71,138.71,1
2026-05-15 16:00,138.21,138.21,138.21,138.21,1
2026-05-15 17:00,140.25,140.25,140.25,140.25,1
2026-05-15 18:00,136.41,136.41,136.41,136.41,1
2026-05-15 19:00,135.41,135.41,135.41,135.41,1
2026-05-15 20:00,131.27,131.27,131.27,131.27,1
2026-05-15 21:00,131.76,131.76,131.76,131.76,1
2026-05-15 22:00,127.13,127.13,127.13,127.13,1
2026-05-15 23:00,124.27,124.27,124.27,124.27,1
2026-05-15 00:00,118.81,118.81,118.81,118.81,1
2026-05-16 01:00,133.93,133.93,133.93,133.93,1
2026-05-16 02:00,124.63,124.63,124.63,124.63,1
2026-05-16 03:00,113.55,113.55,113.55,113.55,1
2026-05-16 04:00,110.69,110.69,110.69,110.69,1
2026-05-16 05:00,117.76,117.76,117.76,117.76,1
2026-05-16 06:00,111.97,111.97,111.97,111.97,1
2026-05-16 07:00,113.54,113.54,113.54,113.54,1
2026-05-16 08:00,111.31,111.31,111.31,111.31,1
2026-05-16 09:00,114.03,114.03,114.03,114.03,1
2026-05-16 10:00,110.03,110.03,110.03,110.03,1
2026-05-16 11:00,108.03,108.03,108.03,108.03,1
2026-05-16 12:00,105.88,105.88,105.88,105.88,1
2026-05-16 13:00,107.23,107.23,107.23,107.23,1
2026-05-16 14:00,107.2,107.2,107.2,107.2,1
2026-05-16 15:00,109.19,109.19,109.19,109.19,1
2026-05-16 16:00,109.68,109.68,109.68,109.68,1
2026-05-16 17:00,107.54,107.54,107.54,107.54,1
2026-05-16 18:00,106.73,106.73,106.73,106.73,1
2026-05-16 19:00,105.23,105.23,105.23,105.23,1
2026-05-16 20:00,106.43,106.43,106.43,106.43,1
2026-05-16 21:00,102.7,102.7,102.7,102.7,1
2026-05-16 22:00,103.93,103.93,103.93,103.93,1
2026-05-16 23:00,101.78,101.78,101.78,101.78,1
2026-05-16 23:00,100.09,100.09,100.09,100.09,1
2026-05-16 01:00,103.63,103.63,103.63,103.63,1
2026-05-16 02:00,100.57,100.57,100.57,100.57,1
2026-05-16 03:00,97.03,97.03,97.03,97.03,1
